smr_capacity,grid_capacity,industry_demand_thermal_capacity,industry_demand_electricity_capacity,desalination_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-smr_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-desalination_capacity
60.0,-1e+200,-3.71,-7.02,-720.0,-435489270.123,nan,-435489270.123,-435489270.123,-435489270.123,-435489270.123,-435489270.123,1.0,nan,1,0.0909090909091,0.0113636363636,2.10437710438e-06,0.125
180.0,-1e+200,-3.71,-7.02,-720.0,-1198085441.4,nan,-1198085441.4,-1198085441.4,-1198085441.4,-1198085441.4,-1198085441.4,1.0,nan,2,0.227272727273,0.0284090909091,2.10437710438e-06,0.125
360.0,-1e+200,-3.71,-7.02,-720.0,-2341979698.33,nan,-2341979698.33,-2341979698.33,-2341979698.33,-2341979698.33,-2341979698.33,1.0,nan,3,0.272727272727,0.0340909090909,2.10437710438e-06,0.125
540.0,-1e+200,-3.71,-7.02,-720.0,-3485873955.25,nan,-3485873955.25,-3485873955.25,-3485873955.25,-3485873955.25,-3485873955.25,1.0,nan,4,0.272727272727,0.0340909090909,2.10437710438e-06,0.125
720.0,-1e+200,-3.71,-7.02,-720.0,-4629768212.17,nan,-4629768212.17,-4629768212.17,-4629768212.17,-4629768212.17,-4629768212.17,1.0,nan,5,0.136363636364,0.0170454545455,2.10437710438e-06,0.125
60.0,-1e+200,-3.71,-7.02,-540.0,-430724722.496,nan,-430724722.496,-430724722.496,-430724722.496,-430724722.496,-430724722.496,1.0,nan,6,0.0909090909091,0.0227272727273,2.10437710438e-06,0.25
180.0,-1e+200,-3.71,-7.02,-540.0,-1193320893.78,nan,-1193320893.78,-1193320893.78,-1193320893.78,-1193320893.78,-1193320893.78,1.0,nan,7,0.227272727273,0.0568181818182,2.10437710438e-06,0.25
360.0,-1e+200,-3.71,-7.02,-540.0,-2337215150.7,nan,-2337215150.7,-2337215150.7,-2337215150.7,-2337215150.7,-2337215150.7,1.0,nan,8,0.272727272727,0.0681818181818,2.10437710438e-06,0.25
540.0,-1e+200,-3.71,-7.02,-540.0,-3481109407.62,nan,-3481109407.62,-3481109407.62,-3481109407.62,-3481109407.62,-3481109407.62,1.0,nan,9,0.272727272727,0.0681818181818,2.10437710438e-06,0.25
720.0,-1e+200,-3.71,-7.02,-540.0,-4625003664.54,nan,-4625003664.54,-4625003664.54,-4625003664.54,-4625003664.54,-4625003664.54,1.0,nan,10,0.136363636364,0.0340909090909,2.10437710438e-06,0.25
60.0,-1e+200,-3.71,-7.02,-360.0,-424995574.282,nan,-424995574.282,-424995574.282,-424995574.282,-424995574.282,-424995574.282,1.0,nan,11,0.0909090909091,0.0227272727273,2.10437710438e-06,0.25
180.0,-1e+200,-3.71,-7.02,-360.0,-1187591745.56,nan,-1187591745.56,-1187591745.56,-1187591745.56,-1187591745.56,-1187591745.56,1.0,nan,12,0.227272727273,0.0568181818182,2.10437710438e-06,0.25
360.0,-1e+200,-3.71,-7.02,-360.0,-2331486002.49,nan,-2331486002.49,-2331486002.49,-2331486002.49,-2331486002.49,-2331486002.49,1.0,nan,13,0.272727272727,0.0681818181818,2.10437710438e-06,0.25
540.0,-1e+200,-3.71,-7.02,-360.0,-3475380259.41,nan,-3475380259.41,-3475380259.41,-3475380259.41,-3475380259.41,-3475380259.41,1.0,nan,14,0.272727272727,0.0681818181818,2.10437710438e-06,0.25
720.0,-1e+200,-3.71,-7.02,-360.0,-4619274516.33,nan,-4619274516.33,-4619274516.33,-4619274516.33,-4619274516.33,-4619274516.33,1.0,nan,15,0.136363636364,0.0340909090909,2.10437710438e-06,0.25
60.0,-1e+200,-3.71,-7.02,-180.0,-417368183.405,nan,-417368183.405,-417368183.405,-417368183.405,-417368183.405,-417368183.405,1.0,nan,16,0.0909090909091,0.0227272727273,2.10437710438e-06,0.25
180.0,-1e+200,-3.71,-7.02,-180.0,-1179964354.69,nan,-1179964354.69,-1179964354.69,-1179964354.69,-1179964354.69,-1179964354.69,1.0,nan,17,0.227272727273,0.0568181818182,2.10437710438e-06,0.25
360.0,-1e+200,-3.71,-7.02,-180.0,-2323858611.61,nan,-2323858611.61,-2323858611.61,-2323858611.61,-2323858611.61,-2323858611.61,1.0,nan,18,0.272727272727,0.0681818181818,2.10437710438e-06,0.25
540.0,-1e+200,-3.71,-7.02,-180.0,-3467752868.53,nan,-3467752868.53,-3467752868.53,-3467752868.53,-3467752868.53,-3467752868.53,1.0,nan,19,0.272727272727,0.0681818181818,2.10437710438e-06,0.25
720.0,-1e+200,-3.71,-7.02,-180.0,-4611647125.45,nan,-4611647125.45,-4611647125.45,-4611647125.45,-4611647125.45,-4611647125.45,1.0,nan,20,0.136363636364,0.0340909090909,2.10437710438e-06,0.25
60.0,-1e+200,-3.71,-7.02,0.0,-397049711.315,nan,-397049711.315,-397049711.315,-397049711.315,-397049711.315,-397049711.315,1.0,nan,21,0.0909090909091,0.0113636363636,2.10437710438e-06,0.125
180.0,-1e+200,-3.71,-7.02,0.0,-1159645882.17,nan,-1159645882.17,-1159645882.17,-1159645882.17,-1159645882.17,-1159645882.17,1.0,nan,22,0.227272727273,0.0284090909091,2.10437710438e-06,0.125
360.0,-1e+200,-3.71,-7.02,0.0,-2303540138.45,nan,-2303540138.45,-2303540138.45,-2303540138.45,-2303540138.45,-2303540138.45,1.0,nan,23,0.272727272727,0.0340909090909,2.10437710438e-06,0.125
540.0,-1e+200,-3.71,-7.02,0.0,-3447434394.74,nan,-3447434394.74,-3447434394.74,-3447434394.74,-3447434394.74,-3447434394.74,1.0,nan,24,0.272727272727,0.0340909090909,2.10437710438e-06,0.125
720.0,-1e+200,-3.71,-7.02,0.0,-4591328651.02,nan,-4591328651.02,-4591328651.02,-4591328651.02,-4591328651.02,-4591328651.02,1.0,nan,25,0.136363636364,0.0170454545455,2.10437710438e-06,0.125
